# PARSE_CENSUS in_tier=945 parse_fail=924 parse_ok=21 missing=41 tree=SCRIP 59589ee97 (parse-only: --dump-ast on each manifest in-tier file staged as .raku; scoreboard exclusions S01 S15 S17 S22 S24 S26) measured 2026-09-04 16:49 CDT by ceo, scratch parse_census.sh; columns: roast-file failing-line message source-line
S03-operators/subscript-vs-lt.t	15	raku parse error line 15: syntax error	eval-lives-ok "1 <2", "infix less-than (<) requires whitespace before.";
S03-operators/ternary.t	35	raku parse error line 35: syntax error	is((0 and 1 ?? 2 !! 3), 0, "operator priority");
S03-operators/value_equivalence.t	19	raku parse error line 19: syntax error	ok  (1 === 1), "=== on values (1)";
S03-sequence/arity0.t	9	raku parse error line 9: syntax error	my @rolls = ({ (1..6).pick } ... *).[^20];
S03-sequence/arity-2-or-more.t	9	raku parse error line 9: syntax error	is (1, 1, { $^a + $^b } ... *).[^6].join(', '), '1, 1, 2, 3, 5, 8', 'arity-2 Fibonacci';
S03-sequence/basic.t	9	raku parse error line 9: syntax error	is ~( 1  ...  1 ), '1', '1 ... 1';
S03-sequence/limit-arity-2-or-more.t	9	raku parse error line 9: syntax error	is (8,*/2 ... (*-*).abs < 2).join(', '), '8, 4, 2, 1', 'arity-2 convergence limit';
S03-sequence/misc.t	4	raku parse error line 4: syntax error	is ("fom" ... /foo/), "fom fon foo", "can use regex for endpoint without it being confused for closu
S03-sequence/nonnumeric.t	15	raku parse error line 15: syntax error	multi infix:<cmp> (Alternating $x, Alternating $y) { abs($x.val) cmp abs($y.val) }
S03-smartmatch/any-any.t	7	raku parse error line 7: syntax error	my $a = Smartmatch::ObjTest.new;
S03-smartmatch/any-bool.t	9	raku parse error line 9: syntax error	is-deeply   0  ~~ is-true(), True,      '~~ non-syntactic True';
S03-smartmatch/any-callable.t	8	raku parse error line 8: syntax error	ok 4 ~~ &is_even,    'scalar sub truth (unary)';
S03-smartmatch/any-complex.t	5	raku parse error line 5: syntax error	ok (1 + 2i)    ~~ (1 + 2i),  'Complex  ~~ Complex (+)';
S03-smartmatch/any-hash-pair.t	7	raku parse error line 7: syntax error	ok  (%a ~~ b => 'foo'),         '%hash ~~ Pair (Str, +)';
